"id","stage","negotiator_slot","role","role_observer","age","economic_status","sex","sex_man","participant_faculty","participant_engineering","treatment","attention_pass","analysis_include","iri_total","iri_total_z","iri_fs","iri_ec","iri_pt","iri_pd","faculty_negotiator","faculty_victim","negotiator_alignment","perp_outgroup","perp_control","victim_outgroup","same_group_harm","decision_accept","comparative_judgement","judgement","severity","condemnation"
15,10,2,"observer",1,19,3,2,1,2,1,1,TRUE,TRUE,1.75,-0.966377134483912,1.28571428571429,1.875,2,1.83333333333333,3,1,"control",0,1,1,,1,2,-9,18,9
16,2,1,"observer",1,35,3,2,1,1,0,2,TRUE,TRUE,2.42857142857143,0.517518127969626,3,2.375,2.71428571428571,1.5,1,1,"ingroup",0,0,0,1,1,3,9,0,-9
16,3,1,"observer",1,35,3,2,1,1,0,2,TRUE,TRUE,2.42857142857143,0.517518127969626,3,2.375,2.71428571428571,1.5,3,1,"control",0,1,0,,1,3,9,0,-9
16,3,2,"observer",1,35,3,2,1,1,0,2,TRUE,TRUE,2.42857142857143,0.517518127969626,3,2.375,2.71428571428571,1.5,1,1,"ingroup",0,0,0,1,1,3,9,0,-9
16,5,1,"observer",1,35,3,2,1,1,0,2,TRUE,TRUE,2.42857142857143,0.517518127969626,3,2.375,2.71428571428571,1.5,2,1,"outgroup",1,0,0,0,1,3,9,0,-9
16,5,2,"observer",1,35,3,2,1,1,0,2,TRUE,TRUE,2.42857142857143,0.517518127969626,3,2.375,2.71428571428571,1.5,1,1,"ingroup",0,0,0,1,1,3,9,0,-9
16,6,2,"victim",0,35,3,2,1,1,0,2,TRUE,TRUE,2.42857142857143,0.517518127969626,3,2.375,2.71428571428571,1.5,2,1,"outgroup",1,0,0,0,1,2,-9,18,9
16,7,2,"victim",0,35,3,2,1,1,0,2,TRUE,TRUE,2.42857142857143,0.517518127969626,3,2.375,2.71428571428571,1.5,2,1,"outgroup",1,0,0,0,1,2,-9,18,9
16,8,2,"victim",0,35,3,2,1,1,0,2,TRUE,TRUE,2.42857142857143,0.517518127969626,3,2.375,2.71428571428571,1.5,3,1,"control",0,1,0,,1,2,-9,18,9
16,9,1,"victim",0,35,3,2,1,1,0,2,TRUE,TRUE,2.42857142857143,0.517518127969626,3,2.375,2.71428571428571,1.5,1,1,"ingroup",0,0,0,1,1,3,-9,18,9
16,9,2,"victim",0,35,3,2,1,1,0,2,TRUE,TRUE,2.42857142857143,0.517518127969626,3,2.375,2.71428571428571,1.5,3,1,"control",0,1,0,,1,3,-9,18,9
17,1,1,"observer",1,20,1,1,0,1,0,2,TRUE,TRUE,2.96428571428571,1.68901438780137,4,2.75,3.28571428571429,1.66666666666667,3,2,"control",0,1,1,,1,1,-9,18,9
17,3,1,"observer",1,20,1,1,0,1,0,2,TRUE,TRUE,2.96428571428571,1.68901438780137,4,2.75,3.28571428571429,1.66666666666667,3,2,"control",0,1,1,,1,1,-9,18,9
17,4,2,"observer",1,20,1,1,0,1,0,2,TRUE,TRUE,2.96428571428571,1.68901438780137,4,2.75,3.28571428571429,1.66666666666667,1,2,"ingroup",0,0,1,0,1,2,-9,18,9
17,5,2,"observer",1,20,1,1,0,1,0,2,TRUE,TRUE,2.96428571428571,1.68901438780137,4,2.75,3.28571428571429,1.66666666666667,2,2,"outgroup",1,0,1,1,1,2,-9,18,9
17,6,2,"victim",0,20,1,1,0,1,0,2,TRUE,TRUE,2.96428571428571,1.68901438780137,4,2.75,3.28571428571429,1.66666666666667,2,1,"outgroup",1,0,0,0,1,2,-9,18,9
17,7,1,"victim",0,20,1,1,0,1,0,2,TRUE,TRUE,2.96428571428571,1.68901438780137,4,2.75,3.28571428571429,1.66666666666667,2,1,"outgroup",1,0,0,0,1,3,-9,18,9
17,7,2,"victim",0,20,1,1,0,1,0,2,TRUE,TRUE,2.96428571428571,1.68901438780137,4,2.75,3.28571428571429,1.66666666666667,3,1,"control",0,1,0,,1,3,-9,18,9
17,8,2,"victim",0,20,1,1,0,1,0,2,TRUE,TRUE,2.96428571428571,1.68901438780137,4,2.75,3.28571428571429,1.66666666666667,1,1,"ingroup",0,0,0,1,1,2,-9,18,9
17,9,1,"victim",0,20,1,1,0,1,0,2,TRUE,TRUE,2.96428571428571,1.68901438780137,4,2.75,3.28571428571429,1.66666666666667,1,1,"ingroup",0,0,0,1,1,3,-9,18,9
